# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -122.   -8.];[ 5.12304943e-09 -1.22348212e+02 -7.96451221e+00];[0 0 0];[-0.23 -136.27 0.42]
[   0. -122.  -16.];[ 1.79351538e-09 -1.22352077e+02 -1.59253851e+01];[0 0 0];[-0.05 -136.27 -6.43]
[   0. -122.  -24.];[ 4.05150270e-09 -1.22351121e+02 -2.38806848e+01];[0 0 0];[-0.08 -136.51 -13.49]
[   0. -122.  -32.];[ 6.49074624e-09 -1.22344596e+02 -3.18276500e+01];[0 0 0];[0.01 -136.86 -20.64]
[   8. -122.  -32.];[   7.96180373 -122.34264875  -31.82733337];[0 0 0];[5.77 -136.69 -21.24]
[   8. -122.  -24.];[   7.96271285 -122.34933707  -23.88056912];[0 0 0];[6.11 -136.71 -14.89]
[   8. -122.  -16.];[   7.9635903  -122.35036375  -15.92536367];[0 0 0];[6.48 -136.59 -8.26]
[   8. -122.   -8.];[   7.96452124 -122.34650466   -7.96452122];[0 0 0];[6.67 -136.47 -1.73]
[   8. -122.    0.];[ 7.96451223e+00 -1.22348211e+02 -9.16159246e-09];[0 0 0];[6.8 -136.24 5.19]
[   8. -122.    8.];[   7.96452123 -122.34650468    7.96452123];[0 0 0];[6.65 -135.7 12.16]
[   8. -122.   16.];[   7.96359029 -122.35036373   15.92536367];[0 0 0];[6.46 -134.79 19.13]
[   8. -122.   24.];[   7.96271285 -122.34933701   23.88056912];[0 0 0];[6.21 -134.16 26.06]
[   8. -122.   32.];[   7.96180374 -122.34264879   31.82733336];[0 0 0];[6.04 -133.43 32.84]
[  16. -122.   32.];[  15.92125223 -122.33665842   31.82632959];[0 0 0];[11.91 -133.23 33.23]
[  16. -122.   24.];[  15.92332447 -122.34387428   23.88019142];[0 0 0];[11.87 -134.06 27.39]
[  16. -122.   16.];[  15.9252821  -122.34513743   15.92528208];[0 0 0];[11.87 -134.61 20.61]
[  16. -122.    8.];[  15.92536371 -122.35036359    7.9635903 ];[0 0 0];[12.27 -135.23 13.81]
[  16. -122.    0.];[ 1.59253851e+01 -1.22352077e+02  4.56532135e-09];[0 0 0];[12.66 -135.83 7.1]
[  16. -122.   -8.];[  15.92536371 -122.35036361   -7.9635903 ];[0 0 0];[12.8 -136.08 0.09]
[  16. -122.  -16.];[  15.92528211 -122.34513745  -15.92528208];[0 0 0];[12.94 -136.17 -7.17]
[  16. -122.  -24.];[  15.92332448 -122.34387427  -23.8801914 ];[0 0 0];[12.7 -136.38 -14.56]
[  16. -122.  -32.];[  15.92125224 -122.33665845  -31.82632958];[0 0 0];[12.56 -136.55 -21.67]
[  24. -122.  -24.];[  23.87944111 -122.33433972  -23.87944106];[0 0 0];[18.3 -136.59 -15.39]
[  24. -122.  -16.];[  23.88019149 -122.34387413  -15.9233245 ];[0 0 0];[18.58 -136.55 -8.33]
[  24. -122.   -8.];[  23.88056923 -122.34933688   -7.96271283];[0 0 0];[18.86 -136.17 -0.95]
[  24. -122.    0.];[ 2.38806849e+01 -1.22351121e+02  7.56381820e-09];[0 0 0];[18.8 -135.67 6.28]
[  24. -122.    8.];[  23.88056922 -122.34933688    7.96271285];[0 0 0];[18.58 -134.97 13.31]
[  24. -122.   16.];[  23.88019149 -122.34387414   15.9233245 ];[0 0 0];[18.68 -134.17 19.94]
[  24. -122.   24.];[  23.87944109 -122.33433972   23.87944108];[0 0 0];[18.68 -133.58 26.67]
[  32. -122.   16.];[  31.82632973 -122.33665824   15.92125226];[0 0 0];[24.27 -134.3 21.25]
[  32. -122.    8.];[  31.82733349 -122.3426486     7.96180372];[0 0 0];[24.26 -135.0 14.49]
